Compound,MW,LogP,HBD,HBA,Aromatic_Ring_Number,TPSA,RotB,QED,Formal_Charge,SA_score,PAINS,BRENK,NIH,Solubility_AqSolDB,hERG,Caco2_Wang,BBB_Martins,Clearance_Hepatocyte_AZ,Clearance_Microsome_AZ,PAMPA_NCATS,PPBR_AZ,Structural_flag,ADMET_flag
O=C(NS(=O)(=O)C(F)F)C(Cc1cccnc1)C1CCCC1,332.37,2.1,1,4,1,76.13,6,0.87,0,3.18,False,False,False,-2.39,0.35,-4.93,0.82,1.8,0.11,0.86,75.06,False,False
CC(C)(C(=O)NC1CC(S(C)(=O)=O)C1)c1cncs1,302.42,1.11,1,5,1,76.13,4,0.9,0,3.29,False,False,False,-1.19,0.11,-4.73,0.76,14.09,1.25,0.86,32.66,False,False
CC1=CC(C(=O)NCCC(=O)C2CCCCC2)=NS(=O)(=O)N1,327.41,0.83,2,4,0,104.7,5,0.78,0,3.18,False,False,False,-2.99,0.04,-5.27,0.78,8.06,21.59,0.78,78.21,False,False
CS(=O)(=O)CNC(=O)Nc1nc(C2CCCCC2)ns1,318.42,1.71,2,6,1,101.05,4,0.88,0,2.77,False,False,False,-3.07,0.41,-5.05,0.87,12.3,18.88,0.92,85.03,False,False
Cn1nc(Br)c(Sc2cc(Br)n[nH]c2=O)n1,367.03,1.57,1,5,2,76.46,2,0.87,0,3.9,False,False,False,-3.01,0.02,-5.09,0.87,14.01,6.33,0.92,87.76,False,False
Cc1nnsc1CNC(=O)C1CC(=O)NC2CCCCC21,308.41,1.16,2,5,1,83.98,3,0.88,0,3.9,False,False,False,-1.55,0.14,-5.14,0.93,9.91,2.44,0.88,42.66,False,False
Cn1nnc(Cn2cc(C(O)c3ccc(Cl)cc3)nn2)n1,305.73,0.58,1,6,3,94.54,4,0.76,0,3.17,False,False,False,-2.68,0.03,-5.67,0.69,13.23,5.55,0.56,73.85,False,False
CS(=O)(=O)N=S1(=O)CCN(Cc2nccn2-c2ccccc2Cl)CC1,402.93,1.77,0,5,2,84.63,4,0.78,0,3.12,False,False,False,-1.8,0.52,-5.28,0.85,0.76,1.67,0.77,71.63,False,False
CS(=O)(=NC(=O)c1cc(CN)[nH]n1)c1ccc(Br)cn1,358.22,1.32,2,5,2,114.09,3,0.86,0,3.74,False,False,False,-2.65,0.04,-5.43,0.75,11.11,-2.67,0.8,73.73,False,False
COc1cnccc1NC(=O)NCC1(S(N)(=O)=O)CC1,300.34,0.03,3,5,1,123.41,5,0.71,0,2.77,False,False,False,-1.58,0.15,-5.31,0.84,14.45,16.55,0.75,38.14,False,False
Cn1nc(Br)nc1NCc1ncc(C(F)(F)F)cn1,337.1,2.0,1,5,2,68.52,3,0.93,0,3.04,False,False,False,-2.34,0.1,-5.03,0.92,9.24,1.72,0.93,71.44,False,False
CN(C)S(=O)(=O)CC(NC(=O)NCCc1nnc2n1CCCCC2)C(F)(F)F,426.47,0.67,2,5,1,109.22,7,0.67,0,3.41,False,False,False,-1.89,0.12,-5.71,0.77,-4.4,23.54,0.79,36.2,False,False
O=C1NC(C(=O)NC2COCCOC2)=CC(c2ccccc2)N1,317.34,0.46,3,4,1,88.69,3,0.76,0,3.29,False,False,False,-2.05,0.04,-5.27,0.79,4.75,0.48,0.68,52.02,False,False
COC(=O)N=S1(=O)CCN(C(=O)Nc2ccc(SCCN3CCCC3)cc2)CC1,440.59,2.96,1,6,1,91.31,5,0.71,0,2.87,False,False,False,-2.5,0.42,-5.26,0.79,-5.72,7.18,0.55,64.44,False,False
CS(=O)(=O)NC(=O)Nc1ccccc1NC1CCCCC1,311.41,2.51,3,4,1,87.3,4,0.8,0,2.11,False,False,False,-3.61,0.38,-4.83,0.85,11.65,-0.08,0.86,86.91,False,False
CN(Cc1ncccn1)CC(O)c1cc(Br)no1,313.16,1.39,1,6,2,75.28,5,0.9,0,3.47,False,False,False,-1.03,0.13,-4.95,0.8,12.21,-6.1,0.72,40.93,False,False
Cc1cc(CS(=O)(=O)NC(=O)CC(C)NC(=O)C2CCCCC2)no1,371.46,1.4,2,6,1,118.37,7,0.75,0,2.99,False,False,False,-2.31,0.05,-5.29,0.64,4.46,4.32,0.63,69.64,False,False
N=S(=O)(c1ccc(-c2c[nH]nc2-c2ccccn2)cc1)C1CC1,324.41,3.71,2,4,3,82.49,4,0.77,0,3.41,False,False,False,-3.22,0.34,-5.62,0.44,13.1,7.13,0.53,81.43,False,False
CC1(C)CC(N)CC(Nc2ccc3c(c2)CS(=O)(=O)C3)C1,308.45,2.43,2,4,1,72.19,2,0.88,0,3.77,False,False,False,-2.04,0.56,-5.27,0.75,-1.61,-17.48,0.76,53.59,False,False
CC1(C(=O)NCc2ncc(Br)cn2)CCCNS1(=O)=O,363.24,0.33,2,5,1,101.05,3,0.81,0,3.84,False,False,False,-1.34,0.06,-5.38,0.91,9.77,3.87,0.83,49.79,False,False
O=C(NCC1(CO)CCS(=O)(=O)CC1)NC1(C(F)(F)F)Oc2cc(Cl)c(Cl)cc2O1,493.29,2.47,3,6,1,113.96,4,0.59,0,3.36,False,False,False,-3.8,0.46,-4.85,0.6,0.3,-0.0,0.78,88.41,False,False
COC(=O)Cc1n[nH]c(CNC(=O)C(C)NC(=O)CC2CCCC2)n1,351.41,0.22,3,6,1,126.07,8,0.58,0,3.02,False,False,False,-2.29,0.07,-5.66,0.68,10.18,21.6,0.66,59.08,False,False
CS(=O)(=O)NC(=O)Oc1ccc(OCCN2CCCC2)cc1,328.39,1.21,1,6,1,84.94,6,0.84,0,2.07,False,False,False,-1.92,0.19,-5.05,0.85,-4.1,-15.13,0.6,58.04,False,False
CC(C)(CNC(=O)Nc1cccc(NC(=O)N2CCCC2)c1)c1nn[nH]n1,372.43,1.93,4,5,2,127.93,5,0.64,0,2.55,False,False,False,-3.49,0.15,-5.91,0.55,11.95,15.65,0.52,74.56,False,False
CN(CCc1cnccn1)CCn1cnc(Br)n1,311.19,1.01,0,5,2,59.73,6,0.8,0,2.92,False,False,False,-0.45,0.15,-5.25,0.85,10.39,-1.34,0.82,15.65,False,False
O=C(NCc1noc(C(F)(F)F)n1)c1ccc(CNC(=O)C2CCCC2)cc1,396.37,2.82,2,5,2,97.12,6,0.78,0,2.31,False,False,False,-3.63,0.34,-5.09,0.92,12.35,24.18,0.95,79.21,False,False
Cc1nc(-n2cccc2)sc1C(=O)NS(=O)(=O)Cc1ncon1,353.39,0.89,1,8,3,119.98,5,0.72,0,3.1,False,False,False,-2.55,0.12,-5.3,0.64,10.21,2.52,0.75,83.77,False,False
CCC(NC(=O)NC(C)S(C)(=O)=O)C(c1ccc(C)cc1)n1cncn1,379.49,1.64,2,5,2,105.98,7,0.76,0,3.85,False,False,False,-1.88,0.46,-5.93,0.4,3.2,19.15,0.75,58.67,False,False
CCCCc1nc(=O)c(CC(=O)NS(=O)(=O)CC=C(Cl)Cl)c(C)[nH]1,396.3,1.73,2,5,1,108.99,8,0.7,0,3.1,False,False,False,-3.35,0.02,-5.23,0.61,-1.42,0.4,0.56,82.1,False,False
