Compound,MW,LogP,HBD,HBA,Aromatic_Ring_Number,TPSA,RotB,QED,Formal_Charge,SA_score,PAINS,BRENK,NIH,hERG,Caco2_Wang,BBB_Martins,Clearance_Hepatocyte_AZ
[NH-]S(=O)(=O)C[C@@H]1CCN1C(=O)COc1cccc(O)c1,299.33,0.75,1,5,1,107.71,5,0.86,-1,3.32,False,False,False,0.07,-5.74,0.54,29.52
CS(=O)(=O)N1CC(CNC(=O)c2cc[nH]c2C(=O)[O-])C1,300.32,-2.0,2,5,1,122.4,5,0.65,-1,3.14,False,False,False,0.02,-5.2,0.82,0.66
NS(=O)(=O)C[C@@H]1CCN1C(=O)COc1cccc(O)c1,300.34,-0.34,2,5,1,109.93,5,0.77,0,2.92,False,False,False,0.14,-5.31,0.67,64.4
O=C(CN1CC=CS1(=O)=O)NCc1nccnc1Cl,302.74,-0.09,1,5,1,92.26,4,0.84,0,3.36,False,False,False,0.02,-4.84,0.94,47.48
O=C(CNC(=O)[C@H](O)Cc1ccccc1)NCc1nnn[n-]1,303.3,-1.84,3,6,2,131.2,7,0.55,-1,3.65,False,False,False,0.05,-5.96,0.9,9.13
O=C(CNC(=O)[C@H](O)Cc1ccccc1)NCc1nnn[n-]1,303.3,-1.84,3,6,2,131.2,7,0.55,-1,3.65,False,False,False,0.05,-5.96,0.9,9.13
C[C@H](CN(C)c1ccccc1)NC(=O)[C@H]([NH3+])Cn1ccnn1,303.39,-0.47,2,4,2,90.69,7,0.72,1,3.86,False,False,False,0.62,-5.18,0.26,53.28
COc1cc(C)sc1C(=O)NS(=O)(=O)CC1(N)CC1,304.39,0.62,2,6,1,98.49,5,0.83,0,3.02,False,False,False,0.17,-4.9,0.85,18.61
CSc1ccnc(NC(=O)[C@H]2CCN2S(=O)(=O)F)n1,306.34,0.43,1,6,1,92.26,4,0.49,0,3.47,False,False,True,0.11,-4.75,0.89,49.8
O=C(NC[C@]1(O)C[C@H](C(=O)[O-])C1)c1cnc(NC2CC2)s1,310.36,-0.66,3,7,1,114.38,6,0.64,-1,3.29,False,False,False,0.09,-5.34,0.82,-5.89
O=C(Nc1cnc(CC2CC2)nc1)N1CCS(=O)(=O)NC1,311.37,0.15,2,5,1,104.29,3,0.83,0,3.2,False,False,False,0.08,-5.33,0.83,14.95
O=C(NCCN1CCNS1(=O)=O)N1CC[C@H](C(F)F)C1,312.34,-0.57,2,3,0,81.75,4,0.73,0,3.76,False,False,False,0.16,-4.93,0.96,21.98
CCOC(=O)[C@@H]1CSCN1C(=O)/C(=[NH+]/OC)c1ccco1,313.36,-0.82,1,6,1,82.95,5,0.43,1,3.99,False,True,False,0.04,-4.69,0.91,76.47
C[NH+](C)[C@H](C(=O)OCc1cc(F)nc(F)c1)c1cscn1,314.34,0.75,1,5,2,56.52,5,0.65,1,4.32,False,True,False,0.2,-4.94,0.8,37.5
O=C(NNS(=O)(=O)C1CC1)[C@@H]1C[NH2+]CC12CCCCCC2,316.45,-0.37,3,3,0,91.88,4,0.62,1,4.69,False,True,False,0.64,-5.43,0.36,-5.87
[NH3+]Cc1ccc(CNC(=O)c2ccc3nnsc3c2)c(F)c1,317.37,1.5,2,4,3,82.52,4,0.76,1,2.89,False,False,False,0.63,-4.94,0.35,44.87
O=C(COc1ccccc1[O-])NNC(=O)[C@@]1(C(=O)[O-])C=CCC1,318.29,-1.63,2,6,1,130.62,5,0.38,-2,3.94,False,True,False,0.01,-5.06,0.82,-5.4
CC1(NC(=O)[C@H](F)Oc2cccnc2)CN(S(N)(=O)=O)C1,318.33,-0.85,2,5,1,114.62,5,0.73,0,3.64,False,False,True,0.13,-5.56,0.71,7.62
Cn1ncc(/C=C(\F)C(=O)NCc2ccc(C[NH+](C)C)cc2)n1,318.38,0.09,2,3,2,64.25,6,0.74,1,3.71,False,True,False,0.2,-5.47,0.26,-1.2
Cn1ncnc1Sc1nccc(I)n1,319.13,1.36,0,5,2,56.49,2,0.48,0,3.34,False,True,False,0.02,-4.7,0.93,40.72
O=C(COc1ccccc1O)NNC(=O)[C@@]1(C(=O)[O-])C=CCC1,319.29,-1.0,3,6,1,127.79,5,0.36,-1,3.45,False,True,False,0.01,-5.29,0.63,6.52
Cn1ccnc1SCCNC(=O)/C=C/c1cc(C(=O)[O-])co1,320.35,0.3,1,6,2,100.19,7,0.45,-1,3.27,False,True,False,0.05,-4.83,0.52,26.64
N[C@H]1C[C@@](F)(CNC(=O)[C@H](O)c2cnc(C(F)(F)F)nc2)C1,322.26,0.47,3,5,1,101.13,4,0.7,0,3.73,False,False,False,0.06,-5.79,0.58,-26.6
CN1C(=O)C[C@@H](CNC(=O)C(=O)NCCCCCC2CC2)C1=O,323.39,0.19,2,4,0,95.58,8,0.38,0,2.95,False,True,True,0.1,-4.64,0.94,40.04
O=C(CSCCc1nnn[n-]1)N1CC[C@@H](O)C12CCCCC2,324.43,0.4,1,6,1,93.31,5,0.78,-1,5.0,False,True,False,0.2,-5.39,0.9,37.97
CS(=O)(=O)[N-]CCCSCc1nncn1-c1ccccc1,325.44,2.22,0,5,2,78.95,8,0.7,-1,3.34,False,True,False,0.26,-5.0,0.95,48.56
COC(=O)[C@@]1(C(=O)NCCC(=O)N2CCCC[C@@H]2C)CCOC1,326.39,0.47,1,5,0,84.94,5,0.59,0,3.36,False,True,False,0.23,-4.55,0.97,64.04
C[C@H]1CC[C@]2(CC1)NC(=O)N(NS(=O)(=O)N1CC=CC1)C2=O,328.39,0.11,2,4,0,98.82,3,0.57,0,3.76,False,True,False,0.11,-4.79,0.91,37.83
COc1nn(C)cc1C[N@H+](C)Cc1nc(Br)cs1,332.25,0.86,1,4,2,44.38,5,0.88,1,4.57,False,False,False,0.65,-4.97,0.25,25.79
C[NH+]1CCN(c2cncc(NC(=O)C(=O)N=S(C)(C)=O)c2)CC1,340.43,-1.39,2,5,1,96.17,2,0.65,1,4.01,False,True,True,0.16,-5.63,0.17,7.29
O=C([O-])C[NH+]1CCN(C(=O)C2=NN(c3ccccc3)C(=O)CC2)CC1,344.37,-2.35,1,5,1,97.55,4,0.66,0,3.72,False,False,False,0.29,-5.62,0.23,-0.04
[NH3+][C@H]1CC[C@H](n2cc(CC[N@@H+]3CCNS(=O)(=O)CC3)nn2)CC1,344.49,-2.64,3,4,1,108.96,4,0.55,2,5.21,False,False,False,0.12,-5.94,0.03,13.09
O=C(/C=C/C(=O)N1CCSSCC1)NC[C@H]1CC[C@H](O)CC1,344.5,1.43,2,5,0,69.64,4,0.6,0,2.96,False,True,False,0.3,-4.93,0.71,39.49
O=C(NC[C@]1(O)C[C@H](C(=O)[O-])C1)[C@H](O)c1ccccc1C(F)(F)F,346.28,-0.25,3,5,1,109.69,5,0.68,-1,3.59,False,False,False,0.06,-5.4,0.66,0.39
Cn1cc(NS(=O)(=O)C2CS(=O)(=O)C2)c(OC2CCCC2)n1,349.43,0.28,1,6,1,107.36,5,0.82,0,3.02,False,False,False,0.08,-4.93,0.76,43.83
O=C(OCc1nnnn1Cc1ccccc1)[C@H]1CCCS(=O)(=O)C1,350.4,0.59,0,7,2,104.04,5,0.73,0,2.88,False,False,False,0.22,-4.99,0.96,60.28
O=C([O-])[C@H](O[N-]S(=O)(=O)c1ccc(C2CCCCC2)cc1)C1CC1,351.42,2.26,0,5,1,97.6,7,0.7,-2,3.82,False,True,False,0.15,-5.0,0.77,29.33
CS(=O)(=O)[N-]C[C@H]1C[N@@H+](Cc2[nH]nnc2-c2ccccc2)CCO1,351.43,-0.41,2,5,2,103.48,6,0.74,0,5.13,False,False,False,0.69,-5.57,0.22,24.78
COc1cccc(-c2cnc(C[N@H+](C)C[C@H]3CCS(=O)(=O)C3)o2)c1,351.45,0.8,1,5,2,73.84,6,0.83,1,4.04,False,False,False,0.88,-4.88,0.2,53.01
CS(=O)(=O)N1CC(CSc2nc(O)cc(=O)n2C2CCCC2)C1,359.47,1.05,1,6,1,92.5,5,0.62,0,3.01,False,False,False,0.21,-5.02,0.69,40.11
COCc1nnc(CCOC(=O)c2ccc(C[NH+]3CCCCC3)cc2)o1,360.43,1.18,1,6,2,78.89,8,0.71,1,3.44,False,False,False,0.82,-5.05,0.16,55.38
C[C@@H](NC(=O)NC[C@@]1(C(=O)[O-])CCCO1)c1ncc(Br)cn1,372.2,-0.1,2,6,1,116.27,5,0.75,-1,4.08,False,False,False,0.03,-5.46,0.92,-0.59
Cc1cnc([C@H]([NH2+][C@@H](C)COc2c(C)cccc2C)c2nnnn2C)s1,373.51,1.71,1,6,3,82.33,7,0.68,1,4.19,False,False,False,0.86,-5.52,0.89,50.37
O=C(NCCC(=O)N1CCCCCC1)NCCn1cnc(-c2nnn[n-]2)n1,375.42,-0.82,2,7,2,144.92,7,0.64,-1,3.37,False,False,False,0.17,-5.87,0.89,19.11
CC(C)(C(=O)Nc1cc(F)cc(F)c1)C(=O)N[C@@H](CCc1nnn[n-]1)C(N)=O,394.36,-0.33,3,6,2,154.06,8,0.52,-1,3.98,False,True,False,0.11,-5.72,0.71,0.49
CN(CC(=O)Nc1c(Cl)cccc1Cl)C(=O)C[N@H+](C)Cc1nnc(O)o1,403.25,0.19,3,6,2,113.0,7,0.61,1,3.97,False,False,False,0.24,-5.71,0.12,17.42
CN(C)C(=O)[C@H](CNC(=O)N1CC[NH+](CC[N-]S(C)(=O)=O)CC1)c1ccccc1,425.56,-0.9,2,4,1,105.33,8,0.56,0,4.45,False,False,False,0.4,-5.53,0.14,15.68
