Compound,MW,LogP,HBD,HBA,Aromatic_Ring_Number,TPSA,RotB,QED,Formal_Charge,SA_score,PAINS,BRENK,NIH,Solubility_AqSolDB,hERG,Caco2_Wang,BBB_Martins,Clearance_Hepatocyte_AZ,Clearance_Microsome_AZ,PAMPA_NCATS,PPBR_AZ,Structural_flag,ADMET_flag
COc1ccc(NC(=O)C2=CCS(=O)(=O)C2)cc1OC1CCCC1,351.42,2.31,1,5,1,81.7,5,0.88,0,2.68,False,False,False,-4.38,0.45,-4.59,0.77,41.14,30.69,0.86,93.93,False,True
CC(C)Cc1ccc(-c2ccc3ccc4ccccc4c3c2)cc1,310.44,6.86,0,0,4,0.0,3,0.36,0,1.75,False,True,False,-7.59,0.64,-5.02,0.88,114.11,124.61,0.87,105.77,True,True
COC(COCCNC(=O)CNC(=O)CCC1CCCC1)OC,330.43,0.82,2,5,0,85.89,12,0.41,0,2.42,False,True,True,-1.82,0.22,-4.67,0.94,79.84,45.75,0.95,46.82,True,True
Fc1ccc2nc(Sc3ccc4ccccc4n3)ccc2c1,306.37,5.07,0,3,4,25.78,2,0.52,0,2.16,False,False,False,-5.3,0.34,-4.62,0.91,120.94,88.82,0.97,98.87,True,True
O=C(CSCCc1nnn[nH]1)NOCCCCCC1CC1,313.43,1.49,2,6,1,92.79,12,0.45,0,3.04,False,True,False,-3.36,0.21,-5.52,0.94,42.01,30.15,0.91,76.92,True,True
O=S(=O)(NCc1ccc(Cl)cc1)NC(c1ccc(Cl)cc1)c1ccc(C(F)(F)F)cc1,489.35,5.73,2,2,3,58.2,7,0.45,0,2.73,False,False,False,-5.25,0.94,-5.31,0.77,57.41,73.75,0.89,100.6,True,True
O=C(NNC(=O)C1CN(S(=O)(=O)F)C1)C1CCCCC1,307.35,-0.14,2,4,0,95.58,3,0.56,0,2.55,False,True,True,-2.09,0.05,-5.12,0.91,-13.35,22.48,0.67,54.87,True,False
O=C(NNc1ccc(Cl)cc1Cl)OCc1ccncc1,312.16,3.64,2,4,2,63.25,4,0.85,0,2.11,False,True,False,-3.35,0.69,-4.74,0.75,64.52,39.45,0.93,86.66,True,True
CCS(=O)(=O)CNC(=O)NCCC(=O)OC1CCCCC1,320.41,0.94,2,5,0,101.57,7,0.68,0,2.53,False,False,False,-1.87,0.33,-4.95,0.87,45.29,37.29,0.8,62.38,False,True
Cc1csc(CNc2nc(I)co2)c1,320.16,3.26,1,4,2,38.06,3,0.88,0,3.38,False,True,False,-5.03,0.57,-4.73,0.95,111.01,89.94,0.97,98.84,True,True
CC(NC(=O)C=CI)c1ccns1,308.14,2.27,1,3,1,41.99,3,0.69,0,3.96,False,True,True,-1.81,0.13,-4.56,0.77,42.34,14.81,0.88,57.14,True,True
O=C(NCCN1CCNS1(=O)=O)N1CCC(C(F)F)C1,312.34,-0.57,2,3,0,81.75,4,0.73,0,3.76,False,False,False,-1.1,0.17,-4.91,0.96,21.05,11.77,0.9,30.53,True,True
CNC(=O)COc1ccc(OCC#CC2CCCCC2)cc1,301.39,2.77,1,3,1,47.56,5,0.85,0,2.36,False,True,False,-4.76,0.51,-4.46,0.92,63.63,44.73,0.95,98.39,True,True
O=C(NCc1ccc(I)c(Br)c1)c1ccc2nsnc2c1,474.12,3.99,1,4,3,54.88,3,0.58,0,2.39,False,True,False,-5.4,0.48,-4.89,0.87,84.02,65.54,0.96,99.05,True,True
COCc1ccc(CSCc2cc(C#N)ccc2OC)cc1,313.42,4.15,0,4,2,42.25,7,0.77,0,2.08,False,False,False,-4.13,0.67,-4.52,0.75,136.35,102.39,0.91,86.51,False,True
O=S(=O)(F)CCCS(=O)(=O)Nc1cnc(C2CCCC2)nc1,351.43,1.57,1,6,1,106.09,7,0.75,0,2.85,False,False,True,-3.64,0.06,-5.27,0.74,7.92,19.38,0.53,74.91,True,False
O=[N+]([O-])c1ccc(-c2ccc(CNCc3ccc(-c4ccccc4)s3)s2)cc1,406.53,6.34,1,5,4,55.17,7,0.29,0,2.25,False,True,False,-6.22,0.92,-4.99,0.93,121.23,120.03,0.92,106.08,True,True
O=C(NCC1CCS(=O)(=O)C1)NNC(=O)NC1CCCCC1,332.43,0.27,4,4,0,116.4,3,0.55,0,2.95,False,True,False,-2.38,0.06,-5.28,0.74,15.57,12.05,0.44,55.44,True,True
CC(OC(=O)Cc1ccc([Si](C)(C)C)cc1)c1ccoc1,302.45,3.67,0,3,2,39.44,5,0.62,0,3.1,False,True,False,-5.49,0.63,-4.65,0.79,138.36,127.08,0.96,99.55,True,True
CS(=O)(=O)CCNN=Cc1ccc(N2CCCCC2)s1,315.46,1.71,1,6,1,61.77,6,0.49,0,2.86,False,True,False,-4.01,0.73,-4.58,0.95,77.43,58.82,0.96,83.03,True,True
